Customer,Gender,Age,Status,Income,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
416,Female,Above 40,Housewife,"More than $150,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,Less than $10,4,1,2,3,1,2,5,Social Media,Yes
417,Female,Above 40,Self-Employed,"$50,000 - $100,000",Rarely,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,4,4,4,5,2,5,5,Social Media;In Store displays,No
418,Male,From 20 to 29,Employed,"More than $150,000",Rarely,Take away,Below 30 minutes,Yes,Cold drinks,Between $15-$20,2,2,2,4,4,1,4,Social Media;Through friends and word of mouth,Yes
419,Female,From 20 to 29,Student,"Less than $25,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks;Juices;Pastries,More than $20,3,2,5,1,1,3,5,"Starbucks Website/Apps;Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
420,Male,Below 20,Employed,"More than $150,000",Daily,Dine in,More than 3 hours,No,Coffee,Between $15-$20,1,3,3,5,5,2,5,Social Media,No
421,Female,Above 40,Student,"$25,000 - $50,000",Rarely,Take away,More than 3 hours,No,Coffee,Between $15-$20,4,5,3,5,5,1,4,Social Media;Through friends and word of mouth,No
422,Male,Above 40,Housewife,"$25,000 - $50,000",Monthly,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,3,3,3,3,5,4,1,Starbucks Website/Apps,No
423,Male,Below 20,Housewife,"$100,000-$150,000",Weekly,Never ,Below 30 minutes,No,Coffee;Cold drinks,Between $10-$15,1,3,2,2,1,3,5,In Store displays,Yes
424,Male,Below 20,Employed,"Less than $25,000",Daily,Take away,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,3,2,2,3,2,4,3,Through friends and word of mouth,No
425,Female,Below 20,Student,"Less than $25,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $15-$20,4,1,4,2,1,5,4,Social Media,Yes
426,Male,From 20 to 29,Student,"More than $150,000",Monthly,Take away,Between 2 hours to 3 hours,No,Cold drinks,More than $20,1,2,3,5,2,4,2,Starbucks Website/Apps;Social Media,No
427,Male,From 20 to 29,Housewife,"$50,000 - $100,000",Weekly,Dine in,More than 3 hours,No,Coffee,Between $10-$15,2,3,2,3,1,3,1,Social Media,Yes
428,Male,From 30 to 39,Student,"$100,000-$150,000",Never,Dine in,Between 2 hours to 3 hours,Yes,Coffee;Cold drinks,More than $20,1,5,1,4,2,1,1,In Store displays,Yes
429,Male,Below 20,Self-Employed,"$100,000-$150,000",Never,Dine in,More than 3 hours,No,Coffee,More than $20,2,2,2,5,1,3,2,Social Media,No
430,Female,From 20 to 29,Self-Employed,"More than $150,000",Daily,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $15-$20,3,5,4,2,4,4,5,Social Media;Through friends and word of mouth,Yes
431,Male,Below 20,Housewife,"$100,000-$150,000",Monthly,Take away,Between 2 hours to 3 hours,No,Coffee,More than $20,5,5,1,2,4,4,1,Social Media,No
432,Male,From 30 to 39,Housewife,"$50,000 - $100,000",Rarely,Dine in,More than 3 hours,No,Coffee,More than $20,5,2,5,4,2,2,1,Through friends and word of mouth,No
433,Male,Below 20,Housewife,"Less than $25,000",Never,Dine in,Between 1 hour to 2 hours,Yes,Coffee;Cold drinks;Pastries;Sandwiches,More than $20,2,1,3,4,3,1,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
434,Female,From 20 to 29,Self-Employed,"Less than $25,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Never,More than $20,2,2,2,4,2,3,1,Never hear,No
435,Female,From 20 to 29,Student,"$100,000-$150,000",Monthly,Take away,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,5,4,1,5,5,2,5,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
436,Female,Below 20,Self-Employed,"More than $150,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Between $10-$15,1,4,2,2,5,5,2,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
437,Male,From 20 to 29,Employed,"$50,000 - $100,000",Rarely,Take away,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,2,4,2,4,1,3,4,Social Media;Through friends and word of mouth,No
438,Female,Below 20,Self-Employed,"Less than $25,000",Rarely,Take away,Between 2 hours to 3 hours,Yes,Coffee;Sandwiches,Between $15-$20,5,1,3,3,5,3,2,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",Yes
439,Female,From 20 to 29,Housewife,"Less than $25,000",Rarely,Dine in,More than 3 hours,No,Coffee,Between $10-$15,1,3,4,3,1,4,2,Through friends and word of mouth,Yes
440,Female,From 20 to 29,Employed,"$100,000-$150,000",Weekly,Take away,Between 1 hour to 2 hours,No,Cold drinks,Between $10-$15,2,5,5,2,5,1,5,Starbucks Website/Apps;Social Media,No
441,Male,Above 40,Employed,"More than $150,000",Daily,I dont like coffee,Between 30 minutes to 1 hour,No,Coffee;Cold drinks,Between $15-$20,1,5,4,3,4,4,3,Social Media,No
442,Female,From 30 to 39,Housewife,"More than $150,000",Rarely,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,4,1,5,2,3,1,3,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
443,Female,Above 40,Self-Employed,"More than $150,000",Rarely,Drive-thru,Between 2 hours to 3 hours,Yes,Coffee,Less than $10,5,3,2,5,2,3,5,Social Media;Emails;Through friends and word of mouth,No
444,Female,From 20 to 29,Self-Employed,"$25,000 - $50,000",Monthly,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,Less than $10,3,1,4,2,5,1,1,Social Media,No
445,Male,Above 40,Housewife,"$100,000-$150,000",Monthly,Dine in,Between 2 hours to 3 hours,No,Coffee,Less than $10,5,5,4,3,5,2,1,Social Media;Through friends and word of mouth,Yes
446,Female,From 20 to 29,Housewife,"$100,000-$150,000",Never,Drive-thru,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $15-$20,2,4,3,1,2,2,4,"Social Media;Deal sites (fave, iprice, etc...)",No
447,Male,Above 40,Self-Employed,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee,Between $10-$15,2,5,4,3,3,3,2,Starbucks Website/Apps,Yes
448,Female,From 20 to 29,Student,"$25,000 - $50,000",Daily,Drive-thru,Below 30 minutes,No,Never buy any,Less than $10,2,1,3,2,1,1,2,Starbucks Website/Apps,Yes
449,Male,From 30 to 39,Housewife,"Less than $25,000",Monthly,Drive-thru,More than 3 hours,No,Cold drinks,Less than $10,4,3,1,5,2,2,2,Starbucks Website/Apps,Yes
450,Female,Below 20,Employed,"Less than $25,000",Monthly,Take away,Below 30 minutes,No,Coffee,Between $15-$20,1,3,1,3,4,1,4,Social Media,Yes
451,Female,From 20 to 29,Employed,"More than $150,000",Daily,Never,More than 3 hours,Yes,Coffee,Between $10-$15,4,4,3,1,3,1,1,In Store displays,No
452,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Weekly,never,More than 3 hours,No,Jaws chip ,Between $15-$20,2,4,3,1,2,2,2,Starbucks Website/Apps;Emails,No
453,Female,Below 20,Housewife,"Less than $25,000",Rarely,Dine in,Below 30 minutes,No,Coffee,More than $20,3,4,4,3,4,5,3,Social Media;Through friends and word of mouth,No
454,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Rarely,Take away,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,2,1,1,1,3,3,4,Social Media;Through friends and word of mouth,Yes
455,Male,Below 20,Self-Employed,"More than $150,000",Monthly,Take away,Between 2 hours to 3 hours,Yes,cake ,Between $15-$20,5,2,5,4,4,4,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
456,Female,From 30 to 39,Self-Employed,"$25,000 - $50,000",Monthly,Never ,Between 1 hour to 2 hours,Yes,Cold drinks,Between $15-$20,4,3,3,5,2,5,1,Starbucks Website/Apps,Yes
457,Male,Below 20,Self-Employed,"Less than $25,000",Monthly,Take away,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,5,5,2,2,1,4,2,Emails,No
458,Female,From 20 to 29,Student,"$25,000 - $50,000",Daily,Dine in,More than 3 hours,No,Coffee;Pastries,Between $10-$15,1,5,1,3,4,2,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
459,Female,From 30 to 39,Student,"$50,000 - $100,000",Daily,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,1,4,1,2,4,1,1,Social Media,Yes
460,Male,From 30 to 39,Housewife,"$25,000 - $50,000",Daily,Dine in,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,4,2,1,4,3,1,2,Social Media;In Store displays,No
461,Male,From 20 to 29,Housewife,"$50,000 - $100,000",Weekly,Dine in,Between 2 hours to 3 hours,No,Coffee,More than $20,5,2,2,5,3,2,4,Social Media;Through friends and word of mouth,Yes
462,Female,Below 20,Housewife,"$25,000 - $50,000",Weekly,Dine in,Between 30 minutes to 1 hour,No,Cold drinks,Between $15-$20,1,3,2,5,5,3,3,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
463,Male,From 30 to 39,Self-Employed,"$25,000 - $50,000",Daily,Dine in,Below 30 minutes,No,Cold drinks,More than $20,3,4,2,1,5,4,3,Social Media;Through friends and word of mouth,No
464,Female,From 20 to 29,Student,"$50,000 - $100,000",Never,Take away,More than 3 hours,No,Pastries,Between $15-$20,3,1,4,5,5,2,1,Social Media,Yes
465,Male,From 30 to 39,Employed,"$50,000 - $100,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $15-$20,1,1,1,1,2,3,3,Starbucks Website/Apps;Emails,No
466,Female,Above 40,Student,"$50,000 - $100,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $15-$20,3,3,1,1,5,2,4,Social Media,No
467,Female,From 20 to 29,Housewife,"$100,000-$150,000",Daily,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,More than $20,3,5,4,2,5,1,2,Through friends and word of mouth,No
468,Male,From 30 to 39,Employed,"$50,000 - $100,000",Monthly,Take away,Between 1 hour to 2 hours,No,Coffee,More than $20,5,2,5,2,3,4,5,Through friends and word of mouth,Yes
469,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Daily,Dine in,Below 30 minutes,No,Coffee,Less than $10,5,1,5,1,3,1,4,Social Media;Emails,Yes
470,Male,Above 40,Self-Employed,"More than $150,000",Rarely,Take away,More than 3 hours,No,Coffee;Pastries,More than $20,3,5,3,1,2,4,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
471,Female,Above 40,Student,"Less than $25,000",Rarely,Take away,More than 3 hours,No,Pastries,Between $15-$20,3,2,1,4,5,5,1,Social Media;Emails,No
472,Female,Below 20,Self-Employed,"More than $150,000",Rarely,Dine in,Between 2 hours to 3 hours,Yes,Cold drinks,Less than $10,1,5,4,2,2,5,4,Starbucks Website/Apps,Yes
473,Male,Above 40,Housewife,"$25,000 - $50,000",Weekly,Take away,Between 1 hour to 2 hours,No,Coffee,Between $10-$15,4,4,5,5,2,1,1,Starbucks Website/Apps;Social Media,Yes
474,Male,From 30 to 39,Student,"$50,000 - $100,000",Monthly,I dont like coffee,More than 3 hours,No,Cold drinks;Never,Between $10-$15,3,2,5,4,4,2,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
475,Female,From 30 to 39,Self-Employed,"More than $150,000",Monthly,Drive-thru,More than 3 hours,Yes,never,Between $15-$20,3,5,1,1,3,3,5,Through friends and word of mouth,Yes
476,Male,Below 20,Employed,"Less than $25,000",Never,Drive-thru,Below 30 minutes,No,Coffee;Pastries,More than $20,2,5,5,1,4,1,3,Social Media,Yes
477,Male,Below 20,Student,"$50,000 - $100,000",Daily,Drive-thru,Between 30 minutes to 1 hour,Yes,Cold drinks,Less than $10,3,4,3,1,2,2,2,Social Media,No
478,Female,From 30 to 39,Housewife,"$100,000-$150,000",Weekly,Dine in,Between 2 hours to 3 hours,No,Cold drinks,Between $15-$20,2,4,2,4,1,4,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,No
479,Male,Above 40,Employed,"$25,000 - $50,000",Rarely,Drive-thru,More than 3 hours,Yes,Nothing ,Between $10-$15,2,1,3,3,5,1,2,Billboards,No
480,Female,Below 20,Student,"$50,000 - $100,000",Never,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks,More than $20,4,4,3,3,5,1,5,Social Media,No
481,Male,Above 40,Housewife,"$25,000 - $50,000",Weekly,Drive-thru,More than 3 hours,Yes,Cold drinks,More than $20,1,1,1,2,5,5,4,In Store displays,No
482,Female,Below 20,Self-Employed,"$100,000-$150,000",Weekly,Drive-thru,Below 30 minutes,Yes,Cold drinks,Between $10-$15,5,3,3,1,4,3,2,Social Media;Through friends and word of mouth,Yes
483,Male,Below 20,Self-Employed,"$100,000-$150,000",Weekly,Take away,More than 3 hours,Yes,Cold drinks,More than $20,3,2,4,5,1,3,3,Social Media,Yes
484,Male,From 20 to 29,Self-Employed,"Less than $25,000",Weekly,Never,More than 3 hours,Yes,Coffee,Between $10-$15,4,3,4,2,5,3,3,Starbucks Website/Apps;Social Media,Yes
485,Male,From 30 to 39,Housewife,"$100,000-$150,000",Weekly,never,Below 30 minutes,Yes,Coffee;Cold drinks;Juices;Pastries;Sandwiches,More than $20,3,1,5,4,1,5,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",No
486,Female,Below 20,Employed,"Less than $25,000",Weekly,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Cold drinks,Less than $10,1,1,4,5,1,4,5,Social Media;Through friends and word of mouth;In Store displays,Yes
487,Female,Above 40,Housewife,"$50,000 - $100,000",Weekly,Take away,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,5,1,1,2,1,4,3,Social Media;Through friends and word of mouth;Billboards,Yes
488,Male,From 30 to 39,Student,"$25,000 - $50,000",Daily,Take away,Between 2 hours to 3 hours,No,Coffee,Between $10-$15,2,1,3,3,1,2,2,In Store displays,No
489,Female,From 30 to 39,Housewife,"$100,000-$150,000",Never,Never ,Below 30 minutes,No,Coffee,Between $10-$15,1,1,2,4,2,2,3,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...)",Yes
490,Female,From 20 to 29,Employed,"More than $150,000",Monthly,Take away,Below 30 minutes,No,Cold drinks;Pastries,Less than $10,1,2,4,2,1,3,1,Social Media;In Store displays,No
491,Female,From 20 to 29,Self-Employed,"Less than $25,000",Never,Dine in,Below 30 minutes,Yes,Coffee,Less than $10,3,1,1,2,5,3,5,In Store displays;Billboards,No
492,Male,Below 20,Self-Employed,"$25,000 - $50,000",Rarely,Take away,More than 3 hours,Yes,Coffee,Less than $10,3,5,2,4,3,5,2,Through friends and word of mouth,No
493,Male,Below 20,Student,"$100,000-$150,000",Never,Dine in,Between 30 minutes to 1 hour,No,Coffee;Sandwiches,Less than $10,3,1,1,2,2,3,4,Starbucks Website/Apps;Social Media,Yes
494,Female,From 30 to 39,Self-Employed,"$25,000 - $50,000",Never,Dine in,Below 30 minutes,No,Cold drinks,Less than $10,2,4,1,1,1,4,2,Social Media,Yes
495,Female,Above 40,Self-Employed,"$25,000 - $50,000",Monthly,Dine in,Between 2 hours to 3 hours,Yes,Coffee,Between $10-$15,3,3,2,4,5,2,5,Starbucks Website/Apps;Social Media,Yes
496,Male,Below 20,Housewife,"Less than $25,000",Rarely,Dine in,Between 2 hours to 3 hours,No,Coffee;Cold drinks,Less than $10,1,1,4,4,1,1,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
497,Female,From 30 to 39,Housewife,"$50,000 - $100,000",Weekly,Take away,Between 1 hour to 2 hours,No,Cold drinks,Between $15-$20,1,3,3,5,3,1,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
498,Female,From 30 to 39,Housewife,"More than $150,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Coffee,Between $10-$15,3,3,3,5,4,4,2,Social Media;Through friends and word of mouth,No
499,Female,From 30 to 39,Employed,"$25,000 - $50,000",Monthly,Dine in,Between 30 minutes to 1 hour,Yes,Cold drinks,Between $15-$20,1,4,2,4,5,3,1,Social Media,Yes
500,Female,From 20 to 29,Employed,"$50,000 - $100,000",Daily,Take away,Between 1 hour to 2 hours,No,Coffee,Between $15-$20,1,4,5,5,2,5,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
501,Male,From 30 to 39,Self-Employed,"$25,000 - $50,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee;Sandwiches,Less than $10,4,5,5,4,4,2,3,Social Media,Yes
502,Male,From 30 to 39,Housewife,"Less than $25,000",Monthly,Take away,Between 30 minutes to 1 hour,Yes,Coffee,Between $15-$20,4,5,4,1,4,3,4,Social Media,No
503,Female,From 20 to 29,Student,"Less than $25,000",Rarely,Take away,Below 30 minutes,No,Coffee,Between $15-$20,2,3,4,1,1,5,5,Social Media;Through friends and word of mouth;In Store displays,Yes
504,Male,From 30 to 39,Housewife,"$100,000-$150,000",Rarely,Dine in,Between 1 hour to 2 hours,Yes,Coffee,More than $20,1,3,4,4,3,5,3,Starbucks Website/Apps,No
505,Female,From 20 to 29,Housewife,"More than $150,000",Rarely,Take away,Between 2 hours to 3 hours,No,Coffee,More than $20,4,5,2,1,2,5,2,Social Media,No
506,Male,Above 40,Employed,"$50,000 - $100,000",Weekly,I dont like coffee,Between 30 minutes to 1 hour,No,Coffee,More than $20,2,2,2,1,1,2,5,Social Media;Through friends and word of mouth,Yes
507,Female,From 30 to 39,Self-Employed,"$50,000 - $100,000",Never,Drive-thru,Below 30 minutes,No,Coffee,Between $10-$15,5,4,3,5,4,1,2,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
508,Female,From 30 to 39,Employed,"$25,000 - $50,000",Never,Drive-thru,Between 1 hour to 2 hours,Yes,Cold drinks,Less than $10,2,2,3,5,5,2,2,Emails,Yes
509,Female,From 30 to 39,Student,"Less than $25,000",Daily,Drive-thru,More than 3 hours,No,Coffee,More than $20,5,2,2,4,1,1,4,Social Media;Emails,Yes
510,Male,Below 20,Employed,"$100,000-$150,000",Weekly,Dine in,Between 2 hours to 3 hours,No,Coffee,More than $20,3,3,3,4,2,3,4,Social Media,Yes
511,Female,From 20 to 29,Student,"Less than $25,000",Never,Drive-thru,Between 1 hour to 2 hours,Yes,Coffee,More than $20,3,5,1,2,2,3,4,Through friends and word of mouth,Yes
512,Male,From 20 to 29,Student,"$25,000 - $50,000",Daily,Dine in,Below 30 minutes,No,Cold drinks;Pastries;Sandwiches,More than $20,4,1,3,4,5,2,3,Social Media;Through friends and word of mouth,Yes
513,Male,From 30 to 39,Self-Employed,"$25,000 - $50,000",Weekly,Drive-thru,More than 3 hours,Yes,Coffee;Juices;Pastries;Sandwiches,Between $15-$20,4,3,3,4,1,3,4,Through friends and word of mouth;In Store displays,No
514,Female,From 30 to 39,Housewife,"Less than $25,000",Rarely,Drive-thru,More than 3 hours,No,Coffee;Cold drinks,Between $15-$20,3,4,5,5,4,4,4,Social Media;In Store displays;Billboards,Yes
515,Male,Below 20,Employed,"More than $150,000",Never,Take away,Between 30 minutes to 1 hour,No,Coffee,More than $20,5,4,4,1,2,4,5,Application offer,No
516,Female,From 30 to 39,Employed,"$25,000 - $50,000",Monthly,Never,Between 1 hour to 2 hours,No,Coffee,More than $20,4,5,5,1,2,3,1,Social Media,No
517,Female,Above 40,Employed,"More than $150,000",Daily,never,Below 30 minutes,No,Coffee,Between $10-$15,2,2,1,3,3,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth;In Store displays,Yes
518,Male,From 30 to 39,Self-Employed,"$25,000 - $50,000",Rarely,Dine in,Below 30 minutes,No,Coffee,Between $15-$20,3,3,1,5,2,2,3,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,No
519,Female,Above 40,Student,"$25,000 - $50,000",Never,Take away,Between 1 hour to 2 hours,No,Coffee;Pastries;Sandwiches,More than $20,1,3,3,4,3,2,1,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
520,Male,Below 20,Employed,"More than $150,000",Rarely,Take away,Between 1 hour to 2 hours,No,Coffee;Pastries,More than $20,4,2,4,2,5,1,3,In Store displays,Yes
521,Female,From 20 to 29,Self-Employed,"$100,000-$150,000",Monthly,Never ,More than 3 hours,Yes,Coffee,Between $10-$15,1,2,4,3,4,2,5,Social Media,No
522,Male,From 20 to 29,Employed,"Less than $25,000",Monthly,Take away,More than 3 hours,No,Coffee,Between $10-$15,5,4,5,3,4,2,2,Social Media,No
523,Female,Above 40,Self-Employed,"More than $150,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,Between $10-$15,3,1,3,1,1,3,3,Social Media;Through friends and word of mouth;Billboards,Yes
524,Female,From 30 to 39,Self-Employed,"Less than $25,000",Monthly,Take away,Below 30 minutes,No,Coffee,Less than $10,3,5,5,2,4,1,1,Social Media,No
525,Female,From 30 to 39,Employed,"$100,000-$150,000",Daily,Dine in,Between 1 hour to 2 hours,Yes,Cold drinks,Between $15-$20,1,4,4,2,4,5,1,Social Media,No
526,Female,From 20 to 29,Housewife,"More than $150,000",Daily,Dine in,More than 3 hours,Yes,Coffee,Between $10-$15,3,5,2,3,1,2,2,Starbucks Website/Apps;Social Media,No
527,Female,Below 20,Self-Employed,"More than $150,000",Rarely,Dine in,Between 1 hour to 2 hours,No,Cold drinks;Juices;Pastries,More than $20,2,3,4,1,3,1,4,In Store displays,Yes
528,Female,From 30 to 39,Student,"$25,000 - $50,000",Never,Dine in,Between 30 minutes to 1 hour,Yes,Coffee,More than $20,1,1,4,4,1,2,3,Starbucks Website/Apps;Social Media,No
